Location_Name,County,Operator,Type,Address,City,State_province,Zip,Country_ISO3166_alpha2,Phone,URL,Languages,Devices_available,Accessibility,Clients,Public,lon,lat
Manson Community Library,Chelan,North Central Regional Library,Library,Wapato Way & Manson Blvd,Manson,Washington,98831,US,[+1] 509-687-3420,http://www.ncrl.org/manson.htm,"English, Russian, Spanish","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-120.159649999747,47.8852300002644
Davenport City Library,Lincoln,Davenport City Library,Library,505 7th St,Davenport,Washington,99122,US,[+1] 509-725-4355,http://www.davenportwa.us/index.asp?Type=B_BASIC&SEC={EA1BEF96-CBC1-4BD4-AE0A-C1...,English,"Computer, Wi-Fi",Wheelchair accessible,"Adults, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-118.150955715683,47.6539963006837
Quincy Community Library,Grant,North Central Regional Library,Library,208 Central Avenue S,Quincy,Washington,98849,US,[+1] 509-787-2359,http://www.ncrl.org/quincy.htm,"English, Russian, Spanish",Computer,Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-119.853211083119,47.2362119627845
Fairhaven Library,Whatcom,Bellingham Public Library,Library,1117 12th St,Bellingham,Washington,98225-6617,US,[+1] 360-778-7324,http://www.bellinghampubliclibrary.org,English,"Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.502181910393,48.72148393277
Everson Public Library,Whatcom,Whatcom County Library System,Library,104 Kirsch Dr,Everson,Washington,98247,US,[+1] 360-966-5100,http://www.wcls.org,English,"Computer, Wi-Fi",None,"Adults, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.341383131554,48.9195596097233
Medical Lake Library,Spokane,Spokane County Library District,Library,321 E. Herb Street,Medical Lake,Washington,99022,US,[+1] 509-893-8330,http://www.scld.org,English,"Computer, Wi-Fi",Wheelchair accessible,"Adults, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-117.679526669902,47.5710930268566
Point Roberts Public Library,Whatcom,Whatcom County Library System,Library,1487 Gulf Road,Point Roberts,Washington,98281,US,[+1] 360-945-6545,http://www.wcls.org,English,"Computer, Wi-Fi",None,"Adults, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-123.076803,48.984617
Cashmere Community Library,Chelan,North Central Regional Library,Library,300 Woodring St,Cashmere,Washington,98815-1061,US,[+1] 509-782-3314,http://www.ncrl.org/cashmere.htm,"English, Russian, Spanish","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-120.467771588592,47.5228675321189
Zillah Library,Yakima,Yakima Valley Libraries,Library,109 7th St,Zilla,Washington,98953-0448,US,[+1] 509-829-6707,http://www.yvl.org,"English, Spanish","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-120.259722074927,46.4012366366449
Vashon Library,King,King County Library System,Library,17210 Vashon Hwy SW,Vashon,Washington,98070-4600,US,[+1] 206-463-2069,http://www.kcls.org/vashon/,"English, Language Line Services","Computer, Wi-Fi",None,"Adults, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.460426388573,47.4507958646908
Kalama Public Library,Cowlitz,Kalama Public Library,Library,312 N 1st St 312 N 1st St,Kalama,Washington,98625,US,[+1] 360-673-4568,http://www.kalamalibrary.org/,English,Computer,Wheelchair accessible,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.845278720389,46.0098207336484
NewHolly Branch,King,Seattle Public Library,Library,7058 32nd Ave. S.,Seattle,Washington,98118,US,[+1] 206-386-1905,http://www.spl.org/locations/newholly-branch/nhy-computers-and-equipment,"English, Somali, Language Line Services",Computer,Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.291058316177,47.5393446131542
Lakewood Library,Pierce,Pierce County Library Sytem,Library,6300 Wildaire Rd SW,Lakewood,Washington,98499-1321,US,[+1] 253-548-3302,http://www.piercecountylibrary.org,"English, Spanish, Language Line Services",Computer,Wheelchair accessible,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.520681024809,47.1606102304594
Grandview Public Library,Yakima,Grandview Public Library,Library,500 W Main St,Grandview,Washington,98930,US,[+1] 509-882-9217,http://www.grandview.wa.us/library.htm,English,Computer,Wheelchair accessible,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-119.907469281548,46.255978388303
Richard E Ostrander Summitview Library,Yakima,Yakima Valley Libraries,Library,5709 Summitview Ave,Yakima,Washington,98908-3041,US,[+1] 509-966-7070,http://www.yvl.org,"English, Spanish",Wi-Fi,Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-120.584774365862,46.6000660014879
Elma Timberland Library,Grays Harbor,Timberland Regional Library,Library,118 N 1st St,Elma,Washington,98541-0547,US,[+1] 360-482-3737,http://www.trl.org/Locations/Pages/Locations.aspx,English,"Computer, Wi-Fi",None,"Adults, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-123.401418026545,47.0046945911859
Montlake Branch,King,Seattle Public Library,Library,713 Eighth Ave. S.,Seattle,Washington,98104,US,[+1] 206-386-1300,http://www.spl.org/locations/montlake-branch/mon-computers-and-equipment,"English, Language Line Services",Computer,Wheelchair accessible,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.322527308055,47.5965363406851
Royal City Community Library,Grant,North Central Regional Library,Library,136 Camelia St,Royal City,Washington,98357,US,[+1] 509-346-9281,http://www.ncrl.org/royalcity.htm,"English, Russian, Spanish","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-119.62739965715,46.9001519390648
